DT,distance(Km),heart,pace,start_lat,start_lng
2022-09-01 17:19:56,3.20,120,8:26,,
2022-09-05 17:20:34,3.30,120,9:05,,
2022-09-08 18:10:00,3.00,120,8:20,,
2022-09-12 17:35:50,2.00,120,10:00,,
2022-09-14 17:20:00,3.00,120,9:20,,
2022-09-17 19:30:43,3.91,120,5:54,31.89580491743982,118.8079066760838
2022-09-19 17:11:24,4.33,120,8:21,31.89605033956468,118.80933922715485
2022-09-22 07:26:29,1.43,120,7:33,40.032941261306405,116.35685772635043
2022-09-24 18:03:36,2.00,120,10:00,,
2022-09-25 05:36:06,3.22,120,7:08,39.898224882781506,116.38461347669363
2022-09-26 14:57:35,2.25,120,7:36,39.88830775022507,116.32881204597652
2022-09-28 17:35:15,2.01,120,6:53,39.88820146769285,116.32873652502894
2022-09-30 20:40:13,6.18,120,7:18,34.83949301764369,119.13875489495695
2022-10-06 19:26:06,1.77,120,7:36,40.035950196906924,116.36976812034845
2022-10-07 09:35:38,2.08,120,6:52,40.03541777841747,116.36553182266653
2022-10-09 18:38:53,3.14,120,6:19,40.038215070962906,116.33258113637567
2022-10-10 17:52:31,2.93,120,3:25,40.03765298053622,116.33248172700405
2022-10-12 18:55:55,2.32,120,4:52,31.89598487690091,118.80932346917689
2022-10-16 15:59:43,6.00,120,10:00,,
2022-10-18 17:17:23,3.00,120,10:00,,
2022-10-22 18:40:57,4.14,120,9:16,31.895772395655513,118.80818923003972
2022-10-23 15:52:11,3.70,120,5:44,31.89590516500175,118.80950409919024
2022-10-27 17:30:18,3.60,120,10:33,,
2022-11-03 17:24:38,2.90,120,9:39,,
2022-11-05 16:10:00,3.80,120,15:47,,
2022-11-08 17:30:00,3.40,120,8:49,,
2022-11-14 17:30:00,3.20,120,9:22,,
2022-11-17 17:30:00,4.20,120,9:03,,
2022-11-21 17:40:00,3.60,120,10:00,,
2022-11-26 19:00:00,4.00,120,10:00,,
2022-11-29 17:30:00,3.00,120,10:00,,
2022-12-02 18:09:54,3.60,120,8:53,,
2022-12-03 17:05:44,2.30,120,9:08,,
2022-12-06 17:21:57,3.20,120,9:04,,
2022-12-09 17:30:00,3.00,120,8:00,,
2022-12-13 17:36:50,4.00,120,8:45,,
2022-12-15 18:07:07,2.70,120,8:53,,
2022-12-19 17:17:59,1.90,120,8:57,,
2022-12-25 14:33:05,4.17,120,8:35,31.895821513608098,118.8086963351816
2022-12-27 17:19:30,2.80,120,10:43,,
2022-12-30 18:12:40,3.20,120,8:45,,
2023-01-03 17:30:04,2.50,120,9:12,,
2023-01-05 17:24:49,2.80,120,10:43,,
2023-01-07 20:45:20,2.69,120,8:22,31.89579335041344,118.80913864821196
2023-01-09 17:28:59,2.60,120,8:51,,
2023-01-12 17:28:41,2.30,120,9:08,,
2023-01-16 17:24:26,1.80,120,7:47,,
2023-01-19 19:43:12,4.62,120,8:50,31.89573953859508,118.80841176956892
2023-01-20 20:05:03,2.43,120,8:00,34.84041661955416,119.14469690993428
2023-01-28 18:05:40,1.08,120,7:05,31.895612133666873,118.80664427764714
2023-01-31 17:10:43,2.00,120,9:00,,
2023-02-02 17:15:30,2.30,120,10:26,,
2023-02-07 17:19:00,2.40,120,8:45,,
2023-02-10 20:21:08,2.87,120,10:03,31.89579075202346,118.80801480263472
2023-02-12 14:23:07,4.02,120,9:19,31.89590658992529,118.80897511728108
2023-02-14 17:16:00,3.20,120,9:04,,
